Variable,oMEDA,Abs_oMEDA
2505,0.1495565,0.1495565
2506,-0.08076365,0.08076365
2507,-0.1580492,0.1580492
2508,-0.9512198,0.9512198
2509,3.049047,3.049047
2510,4.571665,4.571665
2511,-1.211645,1.211645
2512,-0.02706517,0.02706517
2513,-0.001364673,0.001364673
2514,-0.4923219,0.4923219
2515,-0.7452662,0.7452662
2516,-5.213633,5.213633
2517,0.02344031,0.02344031
2518,4.977025,4.977025
2519,-0.306289,0.306289
2520,-0.5118147,0.5118147
2521,13.17555,13.17555
2522,5.510581,5.510581
2523,-2.862751,2.862751
2524,-0.03394829,0.03394829
2525,2.399248,2.399248
2526,-7.859435,7.859435
2527,0.5770244,0.5770244
2528,11.44534,11.44534
2529,0.02294235,0.02294235
2530,0.9157867,0.9157867
2531,0.347889,0.347889
2532,-1.621915,1.621915
2533,0.5167911,0.5167911
2534,-0.8126023,0.8126023
2535,-5.597928,5.597928
2536,9.554971,9.554971
2537,0.1483096,0.1483096
2538,8.770148,8.770148
2539,3.701382,3.701382
2540,-0.6115674,0.6115674
2541,4.289247,4.289247
2542,4.925236,4.925236
2543,3.434158,3.434158
2544,-7.608217,7.608217
2545,0.3666058,0.3666058
2546,-1.329221,1.329221
2547,-0.7459402,0.7459402
2548,-0.1166827,0.1166827
2549,0.0003136269,0.0003136269
2550,12.97532,12.97532
2551,-0.05813437,0.05813437
2552,-4.045012,4.045012
2553,-3.116969,3.116969
2554,-0.9869529,0.9869529
2555,-2.643316,2.643316
2556,-0.5142137,0.5142137
2557,-0.01235069,0.01235069
2558,17.99014,17.99014
2559,0.0001257994,0.0001257994
2560,1.968995,1.968995
2561,10.63768,10.63768
2562,-0.3426553,0.3426553
2563,-0.4529496,0.4529496
2564,0.4350774,0.4350774
2565,-5.525004,5.525004
2566,-10.01167,10.01167
2567,19.30502,19.30502
2568,0.7422528,0.7422528
2569,5.272757,5.272757
2570,-1.141523,1.141523
2571,-0.9434927,0.9434927
2572,0.3325326,0.3325326
2573,-9.506429,9.506429
2574,-22.24583,22.24583
2575,3.304445,3.304445
2576,10.82278,10.82278
2577,0.002230113,0.002230113
2578,0.292919,0.292919
2579,-0.0158789,0.0158789
2580,-0.1154321,0.1154321
2581,-0.784157,0.784157
2582,-1.361466,1.361466
2583,-0.1764486,0.1764486
2584,0.5963313,0.5963313
2585,-0.4406555,0.4406555
2586,0.01352468,0.01352468
2587,-0.1337742,0.1337742
2588,0.5640311,0.5640311
2589,-1.849619,1.849619
2590,-0.2530507,0.2530507
2591,0.9552195,0.9552195
2592,0.2428477,0.2428477
2593,-5.264629,5.264629
2594,-1.148905,1.148905
2595,-1.185034,1.185034
2596,-0.6368481,0.6368481
2597,-1.541581,1.541581
2598,0.0005880412,0.0005880412
2599,3.56892,3.56892
2600,2.993763,2.993763
2601,-3.193962,3.193962
2602,1.773233,1.773233
2603,1.651998,1.651998
2604,2.777827,2.777827
2605,-0.09086712,0.09086712
2606,0.4345984,0.4345984
2607,0.3705283,0.3705283
2608,-0.04205506,0.04205506
2609,0.01170532,0.01170532
2610,-0.448994,0.448994
2611,-0.1134145,0.1134145
2612,0.4010969,0.4010969
2613,-4.500847,4.500847
2614,-0.3412271,0.3412271
2615,1.309883,1.309883
2616,3.447042,3.447042
2617,0.03720551,0.03720551
2618,0.001773674,0.001773674
2619,-0.4114799,0.4114799
2620,-0.01648115,0.01648115
2621,-5.9024,5.9024
2622,0.04856756,0.04856756
2623,0.0003195645,0.0003195645
2624,-0.01357138,0.01357138
2625,-10.17643,10.17643
2626,0.1484091,0.1484091
2627,0.9880466,0.9880466
2628,0.2218218,0.2218218
2629,-0.02396297,0.02396297
2630,0.2704788,0.2704788
2631,4.723589,4.723589
2632,0.2835008,0.2835008
2633,0.00646868,0.00646868
2634,0.1427669,0.1427669
2635,-0.06127165,0.06127165
2636,0.4460306,0.4460306
2637,4.768222,4.768222
2638,3.119135,3.119135
2639,-0.5120975,0.5120975
2640,-0.1625165,0.1625165
2641,-0.2140271,0.2140271
2642,0.1806322,0.1806322
2643,-0.1587703,0.1587703
2644,-0.09712915,0.09712915
2645,0.7927808,0.7927808
2646,2.316829,2.316829
2647,-0.354166,0.354166
2648,2.857213,2.857213
2649,0.06795486,0.06795486
2650,0.7986076,0.7986076
2651,-0.07905591,0.07905591
2652,0.002247005,0.002247005
2653,-1.055327,1.055327
2654,-0.674279,0.674279
2655,0.08855212,0.08855212
2656,-0.003181931,0.003181931
2657,-0.04585429,0.04585429
2658,3.04295,3.04295
2659,4.204692,4.204692
2660,-0.1065518,0.1065518
2661,0.3936291,0.3936291
2662,-1.158163,1.158163
2663,0.7242875,0.7242875
2664,-0.7723113,0.7723113
2665,-3.739081,3.739081
2666,7.040965,7.040965
2667,8.979833,8.979833
2668,0.5192902,0.5192902
2669,0.8137473,0.8137473
2670,0.001686295,0.001686295
2671,5.448101,5.448101
2672,1.737212,1.737212
