Token,Importancia
[CLS],0.0
Token 2,5.914088765479009
Token 3,17.723573016459742
Token 4,10.507455165873353
Token 5,30.67936443159761
Token 6,31.872146303427066
.,3.3033723171632214
[SEP],0.0
