Token,Importancia_PLS_DA
annoying,1.5052844507028
awful,1.5052844507028
bad,1.5052844507028
beautiful,1.5052844507028
boring,1.5052844507028
charming,1.5052844507028
cheap,1.5052844507028
completely,1.5052844507028
dull,1.5052844507028
empty,1.5052844507028
enjoyable,1.5052844507028
good,1.5052844507028
moving,1.5052844507028
natural,1.5052844507028
nice,1.5052844507028
overall,1.5052844507028
painful,1.5052844507028
performances,1.5052844507028
pleasant,1.5052844507028
poorly,1.5052844507028
satisfying,1.5052844507028
scene,1.5052844507028
throughout,1.5052844507028
today,1.5052844507028
unpleasant,1.5052844507028
well,1.5052844507028
wooden,1.5052844507028
warm,1.47529550768024
deeply,1.44530656465767
dreadful,1.44530656465767
dumb,1.44530656465767
final,1.44530656465767
flat,1.44530656465767
fresh,1.44530656465767
lovely,1.44530656465767
poor,1.44530656465767
quite,1.44530656465767
really,1.44530656465767
sharp,1.44530656465767
smart,1.44530656465767
stale,1.44530656465767
strong,1.44530656465767
truly,1.44530656465767
very,1.44530656465767
weak,1.44530656465767
a,1.35992242919778
felt,1.35992242919778
gave,1.35992242919778
it,1.35992242919778
looked,1.35992242919778
worked,1.35992242919778
was,1.33039552679564
story,1.29927033852025
this,1.29401135136565
the,1.28302617172696
movie,1.28205867050179
i,1.2676469202328
film,1.25059159647444
acting,1.15323411238283
cast,1.15323411238283
dialogue,1.15323411238283
disliked,1.15323411238283
ending,1.15323411238283
enjoyed,1.15323411238283
found,1.15323411238283
hated,1.15323411238283
liked,1.15323411238283
loved,1.15323411238283
pacing,1.15323411238283
plot,1.15323411238283
script,1.15323411238283
soundtrack,1.15323411238283
