Head,Importancia_ASCA,Importancia_pct,Efecto_ASCA
1,1739.78877291885,8.66025183702864,11.3083586493624
2,2303.07804596863,11.4641709320598,15.0168608187718
3,1650.69158412029,8.21674736971775,46.4565398730947
4,1814.18408340265,9.03057387514753,23.3859703915479
5,1240.97254010042,6.17726409515579,12.2527524967366
6,1754.13379406867,8.73165791671986,-5.06816226493182
7,1839.93705905749,9.15876602019143,78.8788338802973
8,1013.84499826416,5.04667758830801,26.4174551149486
9,1554.80857567721,7.73946471740136,-32.4780119813949
10,2310.87355555949,11.5029751118002,12.1245140455148
11,1127.31533025574,5.6115057251339,20.2359240392495
12,1739.72709343613,8.65994481133575,-4.82157934905384
