Token,Origen,Destino,Combinada
[CLS],14.4461229648533,16.0391786387874,15.2426508674268
Token 2,10.7917781032083,9.63805898675281,10.2149184974672
Token 3,9.65700676594888,8.87793975786958,9.26747322982511
Token 4,11.5527939128258,10.8478528769966,11.2003233658798
Token 5,11.9812507630101,11.8967598632901,11.9390053096705
Token 6,12.7667753583115,12.4154339559514,12.5911046426622
.,14.702163839569,14.6668367186356,14.6845002776474
[SEP],14.1021082922731,15.6179392017165,14.8600238094209
