Token,oMEDA,PLS_DA,ASCA,SHAP
[CLS],15.2426508674268,15.0954768566402,13.1267160661061,0
Token 2,10.2149184974672,10.4756886042186,9.720885789208,5.91408876547901
Token 3,9.26747322982512,9.53019429642628,10.9249325302627,17.7235730164597
Token 4,11.2003233658798,11.2382428157142,12.1078638464471,10.5074551658734
Token 5,11.9390053096705,11.9438475077952,12.6720073686357,30.6793644315976
Token 6,12.5911046426622,12.4394978717251,14.8301304505867,31.8721463034271
.,14.6845002776474,14.5835548629023,11.7967102458068,3.30337231716322
[SEP],14.8600238094209,14.6934971845781,14.8207537029469,0
