topK_idx_coef,topK_vals_coef
8383,0.000955526372438814
8384,0.000955324667599084
8001,-0.000947857166130518
7809,-0.000940342002541056
8433,-0.000938222207544914
8705,0.000929951605778513
8193,-0.000922664121583307
8881,0.00091546600450044
8665,-0.000911329296920749
8889,0.000908747834886402
8441,-0.000892886964503361
7817,-0.000891348964984887
8513,0.000890827159649709
8007,0.000889428137733521
9156,-0.000887341127581677
9025,-0.000886934083256098
8524,0.000884847861854114
9040,-0.000884614764011747
7815,0.000879510211706475
9039,-0.00087630678022005
9160,0.000875106454977209
8519,-0.000873969900929143
8263,0.000872859439772575
8520,-0.000869854248042784
9159,0.000863934058131054
8376,0.000858154686687738
8200,0.000856079458999862
8375,0.000854491629901082
7929,0.00085397526656391
9048,-0.000852923174678391
8692,-0.000851721570988727
7752,0.000851485711234877
8700,-0.00084941155928663
8530,0.000846692649486479
8369,-0.000842736945313592
7879,-0.00084114553780734
8199,0.000838798913783039
8442,-0.000835711436689314
7751,0.000834962122807901
8521,0.000834632423935182
8769,0.000833595414928858
8447,0.000831518163830269
7873,0.000829518522067084
9047,-0.000826415831963615
8649,-0.000824285264180523
9056,-0.0008184936274397
8516,0.000817346185534227
7816,0.000815754254284246
8625,0.000813483060319649
9064,-0.000813412456214799
