Variable,Efecto_ASCA_pos_menos_neg,Importancia_ASCA
8384,1.91756437819875,36.7705314453676
8383,1.90183341645573,36.1697034394769
7809,-1.87717636854764,35.2379111863369
8705,1.85498744626851,34.4097842581376
8193,-1.83968921437556,33.8445640548976
8001,-1.83955907980401,33.8397760808936
8433,-1.83442067587216,33.6509921606728
8881,1.81448110036645,32.9234166358704
8513,1.80493376697067,32.5778590315095
8889,1.804861996511,32.5752682644968
9025,-1.79915421835692,32.3695590143152
8519,-1.79309768068452,32.151992924762
8200,1.79024718144981,32.0498497068898
8441,-1.78989924109219,32.0373929326239
8376,1.78988971525628,32.0370519278022
8665,-1.78365271317286,31.814170012089
8520,-1.78033979322341,31.6960977933478
9040,-1.76072217637557,31.0014258238072
7815,1.75493261607773,30.7978848697344
7752,1.75058808696662,30.6455865022945
7879,-1.75024297935751,30.6335048679026
7929,1.75016457330742,30.6307603366033
9039,-1.74573726392827,30.4759859466775
9156,-1.73080579695389,29.9568870676917
7817,-1.72712842869101,29.8297260919266
7816,1.72688802615398,29.8214225487399
8530,1.71927361994841,29.5590178025051
8007,1.71511144421451,29.4160726607557
8524,1.71138626845233,29.2884295984719
9048,-1.70756138821346,29.1576589451746
9160,1.70434579897171,29.0479460247251
8769,1.69871931330471,28.8564730539443
8263,1.69312143458791,28.6666019226101
8442,-1.68011264892944,28.227785130927
8700,-1.6791799200621,28.1964520393975
8884,1.67688738851334,28.1195131375509
8892,1.67668763580684,28.1128142806753
8540,1.66590896352824,27.7525267476373
8625,1.6631711516644,27.6613827972868
9159,1.66315677119961,27.6609044558711
8516,1.66129756864133,27.5990961157359
8692,-1.65866821952117,27.5118026244954
9047,-1.65807797636416,27.4922257570388
8199,1.6577640220344,27.4818155275168
7873,1.65499055158097,27.3899372582227
8649,-1.64780501258369,27.1526135949594
9056,-1.64603932924681,27.094454734273
9064,-1.64514587460352,27.0650494872499
7751,1.62803528771405,26.5049889804216
8633,1.62691868171262,26.4686439690553
