Layer,Importancia,Importancia_pct
1,1456.650390625,1.14646115635059
2,1875.2890625,1.47595200668768
3,2659.48461914062,2.09315552405704
4,2250.65966796875,1.77138859269036
5,2911.13525390625,2.29121792776529
6,2366.16455078125,1.86229706487121
7,3140.16333007812,2.47147517736662
8,7114.82861328125,5.59974767570605
9,8967.5986328125,7.05797600057685
10,15660.609375,12.3257306274526
11,32126.8359375,25.2855247325258
12,46526.81640625,36.6190735139499
