Token,Origen,Destino,Combinada
[CLS],14.4626382312129,16.0680872431636,15.2653627371882
Token 2,11.0136102773857,9.96723891851504,10.4904245979503
Token 3,10.1908341628652,9.53568035363147,9.86325725824831
Token 4,11.5221694248364,10.8467622210178,11.1844658229271
Token 5,11.8909603185784,11.9425956520518,11.9167779853151
Token 6,12.47607724605,12.000195264551,12.2381362553005
.,14.5184251294491,14.4653057709051,14.4918654501771
[SEP],13.9252852096224,15.1741345761641,14.5497098928932
