Layer,Importancia_ASCA,Importancia_pct,Efecto_ASCA
1,230.316577613825,1.1464607631833,6.02045130941556
2,296.509149346864,1.47595153233395,20.0334048637908
3,420.501016058875,2.0931533491199,19.6465756108476
4,355.860718272042,1.77138942790817,-1.23778462097912
5,460.291105895341,2.29121888671023,38.4704313075065
6,374.12367178465,1.86229803656748,-2.39281462789571
7,496.503513685293,2.47147557991788,36.9326240932643
8,1124.95317321695,5.59974747312483,30.7088804400212
9,1417.90170265336,7.05797509230309,-15.4693741349863
10,2476.15964699024,12.3257296893843,91.4439946204384
11,5079.69721352547,25.285516155607,-61.4002972403292
12,7356.53794378682,36.6190840138399,40.9533640930491
