topK_idx_vip,topK_vals_vip
8384,4.07367693209633
8383,4.04176359508484
7809,3.98880765453235
8705,3.94179906387475
8001,3.91548727184636
8193,3.90936574380691
8433,3.90249772837272
8881,3.85693897363172
8889,3.83608642105559
8513,3.83313814517658
9025,3.82072924585566
8519,3.80682516360405
8441,3.80266600082552
8200,3.80004950452025
8376,3.79931595303327
8665,3.79423923500669
8520,3.77992146984838
9040,3.7418720802257
7815,3.72913035386395
7752,3.7164386275568
7929,3.71575436393443
7879,3.71520176359118
9039,3.70986832256852
9156,3.68266866993946
7817,3.67662437648248
7816,3.66573859510982
8007,3.65243918966288
8530,3.65098482080474
8524,3.64363235927773
9048,3.62793568569979
9160,3.62675694105302
8769,3.6069914941659
8263,3.60393745565631
8700,3.56983888546539
8442,3.5690146595713
8884,3.55942406517797
8892,3.5590000029221
9159,3.5422906271672
8540,3.53631921477061
8625,3.53123723385387
8692,3.52957768782158
8516,3.52777273097114
8199,3.52436133990019
9047,3.52248622702037
7873,3.51677786687042
8649,3.50119777313158
9056,3.4965898222599
9064,3.49399300684123
7751,3.46409114026083
8521,3.45889101810628
