true_label,token_clean,mean_abs_shap,mean_shap,count
negative,disliked,0.77485535829328,0.77485535829328,1
negative,hated,0.7102009881637059,0.7102009881637059,2
negative,poorly,0.6835041157901287,0.6835041157901287,1
negative,dreadful,0.6808250781614333,0.6808250781614333,1
negative,painful,0.669934205012396,0.669934205012396,1
negative,boring,0.6634397057350725,0.6634397057350725,1
negative,empty,0.6369000788545236,0.6369000788545236,1
negative,poor,0.6119133057072759,0.6119133057072759,1
negative,dull,0.6076933555305004,0.6076933555305004,1
negative,cheap,0.5553260706365108,0.5553260706365108,1
negative,bad,0.5430733170360327,0.5430733170360327,1
negative,wooden,0.5406619515269995,0.5406619515269995,1
negative,unpleasant,0.5330282722134143,0.5330282722134143,1
negative,awful,0.5235496171371778,0.5235496171371778,1
negative,annoying,0.5194041942304466,0.5194041942304466,1
negative,stale,0.47932184860110283,0.47932184860110283,1
negative,dumb,0.3722887234762311,0.3722887234762311,1
negative,truly,0.3560336147493217,-0.3560336147493217,1
negative,worked,0.3559819490183145,-0.3559819490183145,1
negative,really,0.289806426371797,-0.289806426371797,1
negative,deeply,0.276933130226098,-0.276933130226098,1
negative,weak,0.26030633226037025,0.26030633226037025,1
negative,overall,0.2412033947184682,-0.2412033947184682,1
negative,very,0.23267282047308982,-0.23267282047308982,5
negative,gave,0.22058856370858848,-0.22058856370858848,1
negative,flat,0.21997376158833504,0.21997376158833504,1
negative,final,0.19994856789708138,-0.19994856789708138,1
negative,quite,0.19911788369063288,-0.19911788369063288,2
negative,script,0.1983591802418232,0.1983591802418232,1
negative,dialogue,0.18869499675929546,0.18869499675929546,1
negative,plot,0.18720505572855473,0.18720505572855473,1
negative,film,0.1738913185739269,0.028309485331798594,3
negative,today,0.17349583597388119,-0.17349583597388119,2
negative,a,0.15275906957685947,-0.15275906957685947,1
negative,cast,0.14418255328200758,-0.14418255328200758,1
negative,found,0.1202704138122499,-0.1202704138122499,2
negative,ending,0.12021096423268318,0.12021096423268318,1
negative,throughout,0.10815587267279625,-0.10815587267279625,2
negative,story,0.10647939599584788,-0.10647939599584788,2
negative,felt,0.10291627421975136,-0.10291627421975136,5
negative,movie,0.09924218119122089,-0.03734294013120234,5
negative,looked,0.08801577053964138,-0.08801577053964138,1
negative,this,0.0853356669956286,-0.0853356669956286,7
negative,i,0.07831021486781538,-0.07831021486781538,5
negative,completely,0.07750103622674942,-0.07750103622674942,1
negative,was,0.07211524008640222,-0.07211524008640222,7
negative,it,0.06501889042556286,-0.06501889042556286,1
negative,pacing,0.05702507426030934,0.05702507426030934,1
negative,scene,0.05633719824254513,-0.05633719824254513,1
negative,soundtrack,0.040959153324365616,0.040959153324365616,1
negative,the,0.034186400715649747,0.01612054627427521,12
negative,.,0.032297304226085545,0.032270323438569906,20
negative,performances,0.020503956358879805,-0.020503956358879805,1
negative,acting,0.0027044545859098434,0.0027044545859098434,1
positive,sharp,0.710127534577623,0.710127534577623,1
positive,smart,0.6246446690056473,0.6246446690056473,1
positive,warm,0.5616567466640845,0.5616567466640845,2
positive,fresh,0.5135635873302817,0.5135635873302817,1
positive,satisfying,0.478871017228812,0.478871017228812,1
positive,nice,0.47432258538901806,0.47432258538901806,1
positive,pleasant,0.4616647697985172,0.4616647697985172,1
positive,good,0.45382443256676197,0.45382443256676197,1
positive,natural,0.44698378164321184,0.44698378164321184,1
positive,beautiful,0.4428195832297206,0.4428195832297206,1
positive,deeply,0.44133766647428274,0.44133766647428274,1
positive,strong,0.3845769939944148,0.3845769939944148,1
positive,worked,0.3570983975660056,0.3570983975660056,1
positive,truly,0.3563813413493335,0.3563813413493335,1
positive,charming,0.33446027245372534,0.33446027245372534,1
positive,liked,0.33298512920737267,0.33298512920737267,1
positive,enjoyable,0.3270545406267047,0.3270545406267047,1
positive,lovely,0.3172615831717849,0.3172615831717849,1
positive,well,0.3004483161494136,0.3004483161494136,1
positive,really,0.2903019320219755,0.2903019320219755,1
positive,overall,0.24274976761080325,0.24274976761080325,1
positive,very,0.23645303081721067,0.23645303081721067,5
positive,loved,0.22949976474046707,0.22949976474046707,1
positive,gave,0.22075260616838932,0.22075260616838932,1
positive,enjoyed,0.21748030185699463,0.21748030185699463,1
positive,final,0.20497118681669235,0.20497118681669235,1
positive,quite,0.20193824544548988,0.20193824544548988,2
positive,script,0.19789482955820858,-0.19789482955820858,1
positive,moving,0.1962145259603858,0.1962145259603858,1
positive,dialogue,0.1860716782975942,-0.1860716782975942,1
positive,plot,0.18292578670661896,-0.18292578670661896,1
positive,today,0.174792995210737,0.174792995210737,2
positive,film,0.17454654133568206,-0.026539463860293228,3
positive,a,0.1527753509581089,0.1527753509581089,1
positive,cast,0.1442649383097887,0.1442649383097887,1
positive,throughout,0.14209701935760677,0.14209701935760677,2
positive,ending,0.1200767639093101,-0.1200767639093101,1
positive,found,0.12002905458211899,0.12002905458211899,2
positive,story,0.10693311272189021,0.10693311272189021,2
positive,felt,0.10182387589011341,0.10182387589011341,5
positive,movie,0.09874702896922827,0.03923745956271887,5
positive,looked,0.08798685669898987,0.08798685669898987,1
positive,this,0.08585776894220284,0.08585776894220284,7
positive,completely,0.07915221527218819,0.07915221527218819,1
positive,i,0.07886917293071746,0.07886917293071746,5
positive,was,0.07203875591845385,0.07203875591845385,7
positive,it,0.06552869081497192,0.06552869081497192,1
positive,scene,0.0618634968996048,0.0618634968996048,1
positive,pacing,0.05672529409639537,-0.05672529409639537,1
positive,soundtrack,0.04045531898736954,-0.04045531898736954,1
positive,the,0.034373077971395105,-0.016073514183517545,12
positive,.,0.032700578472577034,-0.03268284869845957,20
positive,performances,0.021274837665259838,0.021274837665259838,1
positive,acting,0.0030360985547304153,0.0030360985547304153,1
